source_id,split,rows
2013_CHUGAI,test,14
2013_CHUGAI,train,113
2013_CHUGAI,val,14
2015_Bockus_2,test,1
2015_Bockus_2,train,5
2015_Bockus_2,val,1
2015_Wang,test,5
2015_Wang,train,45
2015_Wang,val,17
2016_Furukawa,test,481
2016_Furukawa,train,519
2016_Furukawa,val,500
2018_Naylor,test,6
2018_Naylor,train,28
2018_Naylor,val,6
2020_Le Roux,test,2
2020_Le Roux,train,351
2020_Townsend,test,417
2020_Townsend,train,2083
2020_Townsend,val,500
2021_Golosov,test,5
2021_Golosov,train,25
2021_Golosov,val,6
2021_Kelly,test,500
2021_Kelly,train,1042
2021_Kelly,val,500
2022_Taechalertpaisarn,test,6
2022_Taechalertpaisarn,train,53
2022_Taechalertpaisarn,val,7
2024_Faris,test,152
2024_Faris,train,1165
2024_Faris,val,117
