task,model,split,rows,mae,rmse,spearman,direction_accuracy_from_delta,direction_auc_from_delta,accuracy,auc
delta_regression,mean_delta,val,795,1.1235293646632474,1.5802955562614298,,0.6540880503144654,0.5,,
delta_regression,mean_delta,test,842,0.9033649008275428,1.3097072682493995,,0.7114014251781473,0.5,,
delta_regression,source_mean_delta,val,795,1.1396469315314186,1.5934004233141013,0.04627304110320855,0.6553459119496855,0.5348181818181817,,
delta_regression,source_mean_delta,test,842,0.9212294189987875,1.3139822228868123,0.1083082290832062,0.7102137767220903,0.5382908413885968,,
delta_regression,ridge_edit,val,795,0.5752679382954109,0.8707630453152803,0.6722667147980534,0.7169811320754716,0.7596678321678322,,
delta_regression,ridge_edit,test,842,0.48973987656500284,0.7053807987203358,0.7142264595121769,0.6995249406175772,0.8307192371373414,,
delta_regression,ridge_shadow_edit,val,795,1.0779576186412183,1.8124824782129485,0.5381250002220892,0.7031446540880503,0.7153671328671328,,
delta_regression,ridge_shadow_edit,test,842,0.7403042315559243,1.320300807387073,0.6533085180771977,0.6413301662707839,0.7943623460225204,,
delta_regression,ridge_shadow_edit_source,val,795,1.0715398808913552,1.480005360165484,0.5388786190006223,0.7069182389937106,0.7267517482517482,,
delta_regression,ridge_shadow_edit_source,test,842,0.6191912137178438,1.0039777720705052,0.6589963221601238,0.6947743467933492,0.799054665869728,,
direction_classification,logreg_edit,val,795,,,,,,0.7773584905660378,0.832486013986014
direction_classification,logreg_shadow_edit,val,795,,,,,,0.7471698113207547,0.796506993006993
direction_classification,logreg_shadow_edit_source,val,795,,,,,,0.7735849056603774,0.8221223776223776
direction_classification,logreg_edit,test,842,,,,,,0.7695961995249406,0.856949511188057
direction_classification,logreg_shadow_edit,test,842,,,,,,0.7862232779097387,0.868161613663376
direction_classification,logreg_shadow_edit_source,test,842,,,,,,0.7874109263657957,0.8698104522626875
